ACAO,CORPO,MENTE,VIDA,LIBERDADE,PROPOSITO
Fazer exames médicos,9,8,5,8,7
Automedicação,3,4,4,4,4
Viajar a lazer,6,9,8,4,7
Viajar a trabalho,4,6,6,7,8
Dirigir no trânsito,4,3,4,5,5
Andar de bicicleta no trânsito,8,6,5,6,5
Usar transporte público lotado,3,3,5,4,4
Ler notícias negativas (Doomscrolling),3,2,4,3,3
Praticar gratidão,7,10,8,7,8
Fazer jejum intermitente,8,8,4,6,6
Comer por ansiedade,2,2,4,3,3
Pular refeições (Descuido),3,3,4,4,4
Chorar (Alívio emocional),6,8,5,5,6
Guardar emoções,3,2,3,4,3
Sorrir/Rir,8,9,9,6,6
Participar de religião/espiritualidade,6,8,9,5,9
Cuidar de um animal de estimação,6,8,8,4,7
Cuidar de plantas,6,8,6,5,6
Fazer apostas (Jogos de azar),3,2,3,1,2
Usar cartão de crédito rotativo,4,2,4,1,3
Trabalhar em algo que odeia,3,2,4,6,3
Trabalhar em algo que ama,6,9,6,8,10
Abrir um próprio negócio,4,7,5,9,10
Falar em público,4,8,7,7,8
Estudar um novo idioma,5,9,7,8,9
Ensinar algo a alguém,5,9,8,6,9
Tirar férias,8,10,9,5,7
Fazer horas extras,3,4,3,8,7
Ter um hobby criativo (Pintar escrever etc),5,9,6,6,8
Escrever um diário (Journaling),6,9,6,7,8
Ouvir podcast educativo,5,9,5,7,8
Ouvir fofocas de celebridades,4,4,5,4,3
Dirigir acima do limite de velocidade,2,4,3,4,3
Dirigir com segurança,8,8,8,8,8
Fazer compras de supermercado planejadas,6,8,5,8,7
Fazer compras com fome,3,4,4,4,4
Jogar jogos de tabuleiro com amigos,5,8,9,5,6
Isolar-se socialmente,4,3,1,6,4
Pedir ajuda quando precisa,6,8,8,7,8
Tentar resolver tudo sozinho,4,6,3,5,7
Delegar tarefas,6,8,7,8,8
Microgerenciar outras pessoas,3,3,4,5,6
Aceitar críticas construtivas,5,9,8,7,9
Ficar na defensiva ao ser criticado,4,3,3,4,4
Elogiar alguém,6,8,9,6,7
Fazer comentários passivo-agressivos,4,3,2,4,3
Estabelecer limites pessoais (Dizer não),6,9,7,9,8
Dizer sim para tudo agradar,4,2,8,2,3
Participar de reuniões improdutivas,3,3,4,4,4
Negociar aumento de salário,4,7,5,9,9
Evitar conflitos necessários,4,3,4,3,4
Resolver conflitos de forma madura,6,9,9,8,8
Fazer compras online tarde da noite,3,3,3,3,3
Usar telas antes de dormir,3,3,4,4,4
Ler ficção,5,8,6,6,7
Ler não-ficção,5,9,5,7,8
Praticar respiração profunda,8,10,6,6,7
Fazer maratonas de trabalho (Hackathon/Crunch),2,4,2,6,7
Assistir a documentários,5,8,5,6,7
Participar de protestos,4,6,8,7,8
Votar conscientemente,5,7,8,8,8
Reclamar do governo sem agir,4,3,4,4,4
Consertar algo quebrado,6,8,6,8,7
Jogar fora algo consertável,5,4,4,5,4
Doar sangue,7,8,8,5,8
Doar dinheiro/roupas,5,8,8,5,9
Colecionar objetos,5,6,6,4,5
Praticar minimalismo,6,8,6,9,8
Praticar consumismo,4,3,4,2,3
Mentorear alguém mais jovem,5,9,8,6,10
Ignorar regras de segurança,1,3,2,5,3
Usar cinto de segurança,10,8,8,8,8
Deixar a louça acumular,3,3,3,4,3
Lavar a louça imediatamente,6,8,5,7,6
Cantar no chuveiro,7,8,6,5,6
Dançar sozinho,8,9,5,6,6
Fazer compras em brechós,5,7,6,8,7
Acompanhar a moda (Fast fashion),4,5,6,3,4
Consumir conteúdo pirata,5,5,5,6,4
Pagar por software original,5,7,5,4,7
Fazer pausas durante o trabalho,7,9,6,7,7
Trabalhar ininterruptamente,3,4,3,6,7
Expor-se ao frio extremo (Crioterapia),8,8,4,5,5
Expor-se ao calor extremo (Sauna),8,8,5,5,5
Dormir com o celular na cama,3,3,4,4,4
Deixar o celular em outro cômodo,8,9,6,7,6
Tirar fotos obsessivamente,4,4,5,5,4
Aproveitar o momento sem fotos,6,9,8,7,7
Chegar atrasado ao trabalho frequentemente,3,3,4,4,2
Chegar adiantado ao trabalho,5,7,5,6,7
Fazer fofoca de colegas no escritório,4,3,2,4,2
Fazer hora extra não remunerada,2,3,4,3,5
Fazer hora extra remunerada,3,4,3,7,6
Roubar material de escritório,5,3,2,3,1
Fazer networking em eventos da área,4,7,8,7,9
Atualizar o currículo regularmente,5,7,5,7,8
Atualizar o LinkedIn,5,7,6,7,8
Reclamar do chefe pelas costas,4,3,4,4,2
Dar feedback negativo de forma grosseira,5,3,2,4,3
Dar feedback construtivo com empatia,5,8,8,6,8
Receber feedback e aplicar melhorias,5,9,7,7,9
Ignorar feedbacks de superiores,5,4,4,5,3
Fazer cursos de especialização,4,9,6,8,9
Estudar ferramentas novas da profissão,4,9,5,8,9
Fazer reuniões em pé (Stand-up meetings),7,7,6,5,6
Faltar ao trabalho sem justificativa,5,4,3,3,2
Mentir no currículo,5,2,2,3,1
Esconder erros no projeto,4,2,3,4,2
Assumir a responsabilidade por um erro,5,8,7,6,8
Roubar o crédito da ideia de um colega,5,2,1,4,1
Dividir o crédito de um sucesso com a equipe,5,8,9,6,8
Trabalhar doente,1,2,3,4,5
Tirar licença médica quando doente,8,7,5,5,5
Fazer amizade com o chefe,5,6,7,6,7
Assediar colegas de trabalho,5,1,1,1,1
Denunciar assédio no trabalho,4,7,7,6,8
Pedir demissão sem ter outro emprego,5,6,4,2,6
Pedir demissão após conseguir proposta melhor,5,8,6,9,9
Fazer "Quiet Quitting" (Demissão silenciosa),5,5,5,6,4
Esforçar-se além do esperado (Overachieving),3,5,3,7,9
Trabalhar como freelancer nas horas vagas,3,6,3,8,8
Abrir CNPJ para prestar serviços,4,7,5,9,9
Trabalhar em esquema de pirâmide,4,2,2,2,1
Fazer reuniões que poderiam ser um email,4,3,4,4,3
Cancelar reunião desnecessária,6,8,6,6,6
Organizar a mesa de trabalho,6,8,5,6,6
Trabalhar em uma mesa bagunçada,4,4,4,5,4
Almoçar na mesa trabalhando,2,3,3,4,5
Tirar a hora inteira de almoço longe da mesa,7,8,7,6,6
Fofocar no grupo de WhatsApp da empresa,5,3,4,4,2
Ignorar o grupo de WhatsApp da empresa fora do expediente,6,9,8,8,6
Responder e-mails no fim de semana,3,4,4,5,6
Desligar notificações de trabalho no fim de semana,7,9,9,8,6
Aceitar um cargo de liderança,4,8,6,7,10
Recusar promoção para manter qualidade de vida,7,8,9,8,6
Pedir aumento com dados e resultados,5,8,6,9,8
Ameaçar pedir demissão para ganhar aumento,4,4,3,6,4
Bajular superiores,5,3,3,5,3
Tratar subordinados com arrogância,5,2,1,4,2
Mentorear estagiários,5,8,8,6,9
Sabotar o trabalho de um colega,5,1,1,2,1
Criar processos para facilitar o trabalho,5,9,6,8,8
Fazer trabalho braçal que poderia ser automatizado,3,3,4,4,3
Automatizar tarefas repetitivas,6,9,6,9,8
Fazer pausas para café frequentemente,6,6,7,5,4
Evitar beber água durante o expediente,2,4,4,5,4
Trabalhar de home office,6,8,7,8,7
Trabalhar no modelo híbrido,7,8,8,7,7
Trabalhar 100% presencial,6,7,8,6,7
Ter um segundo emprego escondido (Overemployment),2,4,2,9,6
Vender produtos no trabalho,5,5,6,7,5
Dormir durante o expediente,4,2,3,2,1
Usar redes sociais pessoais no computador da empresa,4,3,4,4,2
Navegar na internet por lazer no trabalho,4,4,4,4,3
Ler artigos técnicos durante o expediente,4,8,5,7,8
Praticar ginástica laboral,9,8,7,6,6
Reclamar do salário sem buscar alternativas,4,3,4,3,3
Trabalhar em ambiente tóxico por dinheiro,2,2,2,7,4
Trocar de área de atuação (Transição de carreira),5,8,6,7,10
Empreender sem planejamento,3,4,3,3,7
Empreender com plano de negócios,4,8,5,7,10
Falir um negócio e aprender com os erros,4,8,4,4,9
Culpar o mercado pelo fracasso do negócio,5,3,4,4,3
Sonegar impostos da empresa,5,2,3,2,2
Pagar impostos em dia,5,7,5,6,6
Contratar amigos sem qualificação,5,3,5,4,2
Demitir um funcionário problemático,5,7,6,6,8
Manter um funcionário tóxico por ser produtivo,4,3,2,5,3
Investir em treinamento para a equipe,5,8,8,6,9
Comemorar metas batidas com a equipe,6,8,9,6,8
Roubar clientes da antiga empresa,5,2,2,6,3
Cumprir o aviso prévio profissionalmente,5,7,6,6,7
Sair da empresa brigando com todos,4,2,1,4,2
Entregar o projeto no prazo,5,8,6,6,8
Atrasar prazos constantemente,4,3,3,4,3
Prometer prazos irreais para agradar o cliente,3,3,3,4,3
Dizer "não" a um cliente desrespeitoso,6,8,7,7,8
Aceitar abusos de clientes,3,2,3,5,4
Trabalhar de madrugada,2,3,2,5,6
Fazer networking jogando golfe/tênis,7,7,8,6,7
Participar de happy hour da empresa,5,6,8,5,5
Evitar todos os eventos sociais da empresa,5,5,4,6,5
Vestir-se adequadamente para o trabalho,5,7,6,5,6
Ir trabalhar com roupas sujas/inadequadas,4,3,2,5,2
Tomar iniciativa em projetos novos,4,8,6,7,9
Fazer apenas o mínimo necessário,5,5,5,5,4
Propor soluções inovadoras,5,9,6,7,9
Criticar ideias em brainstormings sem propor melhorias,4,3,3,5,3
Participar ativamente de brainstormings,5,8,7,6,8
Ter um mentor de carreira,5,9,8,7,9
Fazer fofoca do chefe,5,3,4,4,2
Paquerar colega de trabalho,5,5,6,5,4
Ter relacionamento sério com colega de trabalho,5,7,8,6,6
Misturar finanças pessoais com as da empresa,4,2,3,2,3
Separar contas PF e PJ,5,8,5,8,7
Usar equipamentos da empresa para fins pessoais,5,4,4,5,3
Quebrar equipamentos da empresa por descuido,4,3,3,4,2
Denunciar fraudes na empresa (Whistleblowing),4,7,5,7,9
Fazer vista grossa para corrupção no trabalho,5,2,3,4,1
Plagiar trabalho alheio,5,2,2,4,1
Colocar fontes e referências em relatórios,5,8,6,6,7
Delegar tarefas sem explicar direito,4,3,4,5,4
Explicar o porquê das tarefas ao delegar,5,8,8,6,8
Gritar com a equipe sob pressão,3,2,1,4,2
Manter a calma em crises profissionais,6,9,7,6,9
Fazer micromanagement (Controlar cada passo),3,3,3,4,4
Dar autonomia para a equipe,5,8,8,7,8
Pedir desculpas a um subordinado quando errar,6,9,9,6,8
Ignorar e-mails de clientes insatisfeitos,5,3,2,4,2
Responder clientes insatisfeitos com empatia,5,8,7,6,8
Trabalhar em feriados,3,4,3,6,6
Usar todo o período de férias acumulado,8,9,8,6,7
Vender as férias,4,4,4,8,5
Fazer greve por direitos trabalhistas,4,6,7,6,7
Furtar ideias de subordinados,5,2,1,4,1
Defender a equipe perante a diretoria,5,8,9,6,9
Jogar a culpa em estagiários,5,2,2,4,2
Promover alguém por mérito,5,8,8,6,9
Promover alguém por nepotismo/amizade,5,3,4,4,2
Omitir informações na passagem de bastão,5,3,3,5,2
Criar manuais detalhados ao sair do cargo,5,8,7,6,8
Reclamar de segunda-feira,4,4,4,5,3
Comemorar a sexta-feira bebendo,3,5,7,5,4
Desenvolver síndrome de burnout,1,1,1,3,4
Tratar clientes de forma discriminatória,5,1,1,3,1
Atender todos os clientes com igualdade,5,8,8,6,8
Fazer bicos (Side hustles) no final de semana,3,5,3,8,8
Aceitar propina para facilitar contratos,5,1,2,2,1
Recusar suborno,5,9,6,8,9
Pedir ajuda de colegas em tarefas complexas,5,8,8,6,8
Tentar esconder que não sabe usar um software,4,4,4,5,3
Admitir ignorância e pedir para aprender,5,9,8,6,8
Fazer piadas preconceituosas no ambiente de trabalho,5,2,1,4,1
Corrigir um colega em público,4,3,3,5,4
Corrigir um colega em particular (Feedback 1:1),5,8,8,6,8
Ler livros de desenvolvimento profissional,5,9,5,7,9
Fazer terapia para lidar com chefe tóxico,6,9,7,6,8
Sair no horário correto todos os dias,7,8,8,7,6
Levar trabalho para casa,3,4,4,5,6
Ignorar protocolos de segurança EPI,1,3,3,5,2
Usar todos os equipamentos de segurança EPI,9,8,6,5,7
Casar-se por pressão social,4,2,3,2,2
Casar-se por amor genuíno,6,9,10,7,9
Trair o parceiro romanticamente,5,2,1,4,2
Descobrir uma traição e terminar,4,7,7,8,8
Perdoar uma traição sem trabalhar o trauma,3,3,4,4,3
Perdoar uma traição após terapia de casal,5,8,8,6,8
Manter amizade com ex-parceiro,5,6,6,6,5
Stalkear o ex nas redes sociais,4,2,3,4,2
Fazer contato zero após o término,5,8,6,8,7
Brigar em público com o parceiro,4,2,2,4,2
Resolver brigas em particular de forma madura,5,9,9,7,8
Dar um presente surpresa para alguém,5,8,9,6,7
Esquecer o aniversário de alguém importante,5,4,3,5,4
Fazer promessas que não pode cumprir,5,3,3,5,3
Cumprir todas as promessas,5,8,9,7,8
Emprestar dinheiro para parente,5,4,6,3,5
Cobrar dívida de parente,5,6,4,7,6
Doar dinheiro sem esperar retorno,5,8,8,6,9
Dividir a conta no primeiro encontro,5,6,6,7,5
Pagar a conta inteira no primeiro encontro,5,6,6,6,5
Mandar mensagem primeiro,5,6,6,6,5
Fazer joguinhos emocionais,4,3,2,4,2
Demonstrar vulnerabilidade,5,8,9,7,8
Choramingar para chamar atenção,4,3,4,4,3
Apoiar um amigo em luto,5,6,9,5,8
Evitar amigos em momentos difíceis,5,3,2,6,3
Ter um "ombro amigo" sempre disponível,4,6,8,4,7
Dizer "Eu te amo" sinceramente,6,9,10,8,9
Dizer "Eu te amo" por manipulação,5,2,2,3,2
Fazer chantagem emocional,4,2,1,3,1
Cortar relações com familiar tóxico,6,9,7,9,8
Manter relações com familiar tóxico por obrigação,3,2,3,4,3
Realizar um jantar em família,6,8,9,6,7
Brigar no almoço de domingo,3,2,2,4,2
Mimar filhos excessivamente,4,4,4,3,4
Impor limites saudáveis aos filhos,5,8,8,6,8
Bater nos filhos (Castigo físico),3,1,1,4,1
Usar diálogo como correção disciplinar,5,9,9,6,8
Adotar uma criança,6,8,9,4,10
Ter filhos para salvar o casamento,4,2,2,2,3
Planejar a gravidez,6,8,8,6,9
Descobrir gravidez acidental,4,4,6,4,6
Fazer fofoca sobre a família dos outros,5,3,3,5,3
Apoiar um parente doente,4,6,9,4,8
Deixar os pais em asilo sem visitá-los,5,3,2,6,3
Cuidar de pais idosos em casa,3,5,8,3,8
Comparar os filhos com os outros,4,2,3,5,3
Elogiar o esforço de uma criança,5,9,9,6,9
Proibir o parceiro de sair com amigos,4,2,1,2,2
Incentivar o parceiro a ter hobbies individuais,5,9,9,8,8
Mexer no celular do parceiro escondido,4,2,2,3,2
Dar a senha do celular para o parceiro,5,6,7,5,6
Discutir a relação (D.R.) constantemente,4,3,4,5,4
Discutir a relação apenas quando necessário,5,8,8,7,8
Dar o "tratamento do silêncio",4,2,1,4,2
Responder agressivamente,4,2,2,4,2
Saber pedir desculpas,5,9,9,7,8
Aceitar desculpas falsas,4,3,3,4,3
Guardar segredo de um amigo,5,7,8,6,7
Contar segredo alheio,5,3,2,5,3
Emprestar o carro e voltar sujo,5,4,3,4,4
Devolver o carro emprestado lavado e abastecido,5,8,9,5,7
Pegar roupa emprestada e não devolver,5,4,2,4,3
Ajudar na mudança de casa de um amigo,3,7,9,5,8
Dar um conselho não solicitado,5,4,5,5,5
Pedir conselhos antes de decidir,5,8,7,6,7
Ouvir apenas para rebater,5,3,3,5,4
Escutar ativamente (Escuta empática),6,9,9,7,8
Interromper os outros enquanto falam,5,4,3,5,4
Saber esperar a vez de falar,5,7,7,6,7
Tentar mudar a personalidade do parceiro,4,3,2,4,3
Aceitar o parceiro como ele é,5,9,9,8,8
Fazer bullying,4,1,1,4,1
Defender alguém que sofre bullying,5,8,9,6,9
Ser o palhaço da turma o tempo todo,5,5,6,6,5
Esconder a tristeza com piadas,4,3,5,5,4
Fazer terapia de casal preventiva,6,9,8,7,8
Dividir as tarefas domésticas igualmente,6,8,9,7,8
Deixar toda a limpeza para uma pessoa,4,3,4,5,4
Reclamar da comida feita por outra pessoa,5,3,2,5,3
Elogiar quem cozinhou,5,8,9,6,7
Pedir comida no aplicativo para a família,5,6,7,5,6
Surpreender o parceiro com café na cama,6,8,9,6,7
Lembrar do prato favorito de alguém,5,8,9,6,7
Fazer piadas de mau gosto em funeral,5,2,1,5,2
Levar flores para alguém doente,5,7,9,6,7
Doar órgãos em vida (ex: rim),2,8,9,5,10
Criticar a aparência física de alguém,5,2,2,5,2
Elogiar um traço de personalidade de alguém,5,9,9,6,8
Ignorar mendigos na rua,5,4,4,5,5
Dar comida a um morador de rua,5,7,8,5,8
Participar de uma ONG,6,8,9,5,9
Desdenhar de causas sociais,5,3,3,5,3
Viver apenas para agradar aos outros,3,2,2,1,2
Ter medo do abandono,4,2,3,4,2
Lidar com o medo do abandono na terapia,6,9,7,6,8
Comparar seu relacionamento com os da internet,4,2,2,4,2
Expor brigas de casal nas redes sociais,4,2,1,5,2
Exibir felicidade irreal no Instagram,5,3,4,5,4
Dar suporte financeiro aos pais,4,7,8,3,8
Exigir herança com os pais vivos,5,1,1,5,1
Pagar asilo de luxo para os pais,5,7,7,4,7
Visitar os avós com frequência,5,8,9,5,8
Esquecer os avós sozinhos,5,3,2,6,3
Ter um "ficante" há anos sem definir nada,5,4,5,6,4
Definir o status do relacionamento com clareza,5,8,8,7,7
Fazer ghosting (sumir sem dar explicação),5,3,1,6,3
Dar um fechamento maduro a uma relação,5,9,8,7,8
Terminar relacionamento por mensagem de texto,5,4,2,6,4
Trair com o melhor amigo(a) do parceiro,5,1,1,4,1
Ir em festas de família apenas por obrigação,4,4,5,4,4
Abraçar fortemente uma pessoa querida,8,10,10,7,8
Recusar abraços e toques físicos,5,4,4,6,5
Comprar presentes para si mesmo (Self-love),6,8,6,7,7
Dar o sangue pela empresa em vez da família,2,3,2,7,6
Priorizar a festa escolar do filho sobre o trabalho,5,8,9,6,9
Deixar filhos na tela o dia todo,3,3,2,5,3
Brincar com filhos no chão,7,9,10,5,9
Ler histórias para os filhos dormirem,6,9,10,5,9
Cobrar perfeição escolar dos filhos,3,2,3,4,3
Participar do conselho de pais na escola,5,7,8,5,8
Ser padrinho/madrinha de uma criança,5,7,8,5,8
Fazer amizades em jogos online,4,6,7,6,6
Encontrar pessoalmente amigos virtuais,5,8,8,6,7
Tentar transformar amizade em namoro,5,6,7,6,6
Criar perfil falso em app de namoro,4,2,2,5,2
Mentir idade ou foto em app de relacionamento,5,3,2,5,2
Sair em encontros às cegas,5,6,6,6,6
Conhecer pessoas em bares ou baladas,4,5,6,6,5
Conhecer pessoas em livrarias ou parques,5,7,7,6,6
Rejeitar alguém com educação,5,8,7,7,8
Rejeitar alguém humilhando a pessoa,5,2,1,5,2
Insistir após ouvir um "não",5,2,1,4,2
Respeitar o "não" imediato,5,9,8,8,8
Sentir ciúmes doentio,3,2,2,4,2
Trabalhar a insegurança do ciúme,5,9,8,6,8
Controlar que roupas o parceiro veste,4,2,1,3,2
Vestir-se como quiser sem medo de julgamento,6,9,8,9,8
Pedir para morar junto cedo demais,5,4,5,5,5
Discutir responsabilidades antes de morar junto,5,9,9,7,8
Sair de casa dos pais cedo,6,8,7,9,8
Sair de casa dos pais tarde (30+),5,5,6,6,5
Sustentar um parceiro que não trabalha por opção,4,3,4,2,4
Dividir finanças com transparência,5,9,9,8,8
Fazer contrato pré-nupcial,5,8,8,9,8
Casar com comunhão total de bens,5,6,7,4,6
Casar escondido (Elopement),5,7,7,8,7
Fazer festa de casamento endividando-se,4,3,4,2,4
Fazer festa simples para amigos próximos,5,8,9,6,8
Viver relação poliamorosa com maturidade,5,7,7,8,7
Trair argumentando ser "poliamor" sem acordo,5,2,1,6,2
Fazer compras no supermercado sem lista,4,4,5,3,4
Comprar itens essenciais no atacado,5,7,5,8,7
Comprar roupas novas toda semana,4,4,5,2,3
Repetir roupas sem vergonha,5,8,7,8,7
Comprar um carro zero km financiado em 60x,4,3,5,2,4
Comprar um carro usado à vista,5,6,5,8,7
Andar de carro blindado,5,4,4,6,5
Viver sem carro próprio (Uber/Aluguel/Bike),7,7,6,8,7
Ignorar faturas do cartão de crédito,4,1,2,1,2
Pagar faturas do cartão de crédito no dia do vencimento,5,8,5,8,7
Anotar todos os gastos em uma planilha,5,8,5,9,8
Esquecer onde gastou o dinheiro do mês,4,3,4,3,3
Ter uma reserva de emergência (6 meses),5,9,6,10,8
Viver de salário em salário sem guardar nada,4,2,4,2,3
Investir em renda fixa (CDB/Tesouro),5,8,5,9,8
Investir em bolsa de valores (Ações/FIIs) com estudo,5,8,5,9,9
Fazer day trade sem experiência (Especulação),2,2,3,2,3
Comprar criptomoedas de forma arriscada,4,4,4,4,5
Fazer consórcio sem matemática financeira,5,4,4,4,5
Pedir empréstimo no banco para viajar,5,4,6,2,5
Fazer apostas esportivas,3,2,3,2,2
Gastar dinheiro com jogos online (Microtransações),4,3,4,3,3
Comprar eletrônicos por status,4,4,5,3,4
Manter o mesmo celular por 3+ anos,5,7,5,8,7
Mudar de casa para um lugar mais barato (Downgrade),5,7,5,9,8
Mudar para um bairro de luxo para aparentar sucesso,4,3,4,3,4
Pagar aluguel sem dor de cabeça,5,7,6,8,7
Pagar financiamento imobiliário em 30 anos,5,6,6,5,7
Gastar muito dinheiro em casamentos/formaturas,4,4,7,3,5
Fazer casamentos/formaturas econômicas,5,7,7,8,7
Investir dinheiro em educação,5,9,7,9,10
Comprar cursos online e não assistir,4,3,3,4,4
Contratar um consultor financeiro,5,8,5,8,8
Fazer doações recorrentes a instituições,5,8,8,6,9
Sonegar impostos para sobrar dinheiro,5,2,3,2,2
Usar serviços de streaming em excesso,3,4,4,4,3
Cancelar assinaturas não utilizadas,5,8,5,8,7
Fazer marmitas para a semana (Meal prep),8,8,5,8,7
Pedir iFood todos os dias,2,4,6,3,4
Ir a restaurantes caros toda semana,3,5,7,3,5
Tomar café de cafeteria todo dia,4,5,5,4,4
Fazer café em casa para economizar,5,7,5,8,6
Reciclar o lixo de casa,5,7,6,5,7
Comprar apenas o essencial (Minimalismo extremo),6,8,5,9,8
Gastar com experiências e viagens,6,9,9,6,9
Comprar imóveis para alugar (Viver de renda),5,8,5,9,9
Perder dinheiro emprestando a amigos,4,3,3,3,4
Comprar ações em alta por impulso (FOMO),3,2,3,2,3
Trabalhar por dinheiro esquecendo a saúde,2,3,3,7,5
Equilibrar finanças e lazer,6,9,8,8,9
Negociar descontos sempre que possível,5,8,5,8,7
Ter vergonha de pedir desconto,5,4,5,5,5
Levar a comida estragar na geladeira,4,3,4,4,3
Cozinhar com aproveitamento total de alimentos,6,8,6,7,7
Revender coisas usadas em sites,5,7,5,8,6
Deixar coisas acumularem no armário,4,3,3,4,3
Vender arte/trabalhos manuais,5,8,7,8,9
Assinar jornais/revistas,5,8,5,6,7
Apoiar criadores de conteúdo independentes,5,7,7,5,7
Gastar em suplementos caros desnecessários,6,5,5,4,5
Contratar seguro de vida,5,8,7,7,8
Contratar seguro de saúde/plano,8,8,6,8,8
Ficar sem plano de saúde para economizar,3,3,4,3,4
Arrumar vazamentos em casa rapidamente,5,8,6,7,6
Ignorar manutenção do carro até quebrar,3,3,4,3,4
Ter múltiplas fontes de renda,4,7,5,9,9
Depender 100% de uma única fonte de renda,5,4,5,4,5
Usar o dinheiro para comprar tempo (Pagar serviços),6,8,7,7,8
Vender o próprio tempo barato demais,3,3,4,3,4
Pagar terapia particular,6,10,7,7,9
Fazer orçamento para o mês seguinte,5,9,6,9,8
Esquecer senhas de banco frequentemente,5,3,4,4,4
Proteger senhas e dados bancários,5,8,5,8,7
Usar programas de milhas/pontos,5,7,5,8,6
Perder pontos e milhas expiradas,5,4,4,5,4
Cair em golpes online (Phishing),4,2,3,2,3
Alertar parentes idosos sobre golpes,5,8,8,6,8
Vender herança para pagar dívidas,5,5,4,6,6
Investir herança para o futuro,5,8,6,9,9
Dar mesada para filhos ensinando finanças,5,8,8,6,9
Tomar multivitamínicos sem indicação médica,6,5,5,5,5
Fazer exame de sangue anual,9,8,6,7,8
Ignorar dor crônica sem buscar ajuda,2,2,3,4,3
Ir ao dentista a cada 6 meses,9,8,6,7,7
Passar fio dental todos os dias,10,8,6,7,6
Escovar os dentes 3x ao dia,10,8,6,7,6
Não lavar as mãos ao chegar em casa,2,3,4,5,3
Lavar as mãos antes das refeições,9,7,6,7,6
Usar protetor solar diariamente,10,8,6,7,6
Pegar sol no rosto sem proteção no pico do dia,2,4,5,5,4
Fazer skin care (Cuidados com a pele),8,8,6,6,6
Dormir de maquiagem,2,3,4,5,3
Praticar crossfit,9,8,7,5,7
Praticar pilates,9,9,6,6,7
Fazer hidroginástica,8,8,7,6,6
Usar anabolizantes sem acompanhamento,1,3,4,3,2
Usar reposição hormonal com médico,8,8,6,6,7
Seguir dietas restritivas extremas (Crash diets),2,2,3,3,3
Comer apenas até a saciedade (80% cheio),9,9,7,7,8
Comer compulsivamente até passar mal,1,1,2,2,2
Mascar chiclete o dia inteiro,4,4,5,5,4
Roer unhas,3,2,3,3,3
Tratar vício em roer unhas,7,8,6,7,7
Estalar os dedos obsessivamente,5,4,5,5,4
Sentar torto na cadeira do escritório,2,4,4,5,4
Usar suporte ergonômico para trabalhar,9,8,5,6,7
Trabalhar em pé por algumas horas (Standing desk),8,8,5,6,7
Ignorar a necessidade de ir ao banheiro,2,3,4,4,3
Segurar o espirro,3,4,5,5,4
Respirar pela boca o dia todo,2,3,4,5,3
